Ê±¼ä - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	°ÚÂÖ½Ç¶È - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	
24.88	9.216	
24.9	7.884	
24.92	6.588	
24.94	5.256	
24.96	3.888	
24.98	2.556	
25	1.188	
25.02	-0.18	
25.04	-1.476	
25.06	-2.808	
25.08	-4.068	
25.1	-5.292	
25.12	-6.552	
25.14	-7.812	
25.16	-8.964	
25.18	-10.008	
25.2	-11.088	
25.22	-12.06	
25.24	-13.032	
25.26	-13.824	
25.28	-14.652	
25.3	-15.372	
25.32	-15.984	
25.34	-16.56	
25.36	-16.992	
25.38	-17.388	
25.4	-17.676	
25.42	-17.856	
25.44	-17.964	
25.46	-17.964	
25.48	-17.892	
25.5	-17.712	
25.52	-17.46	
25.54	-17.136	
25.56	-16.74	
25.58	-16.236	
25.6	-15.66	
25.62	-15.012	
25.64	-14.292	
25.66	-13.5	
25.68	-12.672	
25.7	-11.772	
25.72	-10.764	
25.74	-9.756	
25.76	-8.676	
25.78	-7.524	
25.8	-6.372	
25.82	-5.148	
25.84	-3.96	
25.86	-2.664	
25.88	-1.296	
25.9	0	
25.92	1.26	
25.94	2.628	
25.96	3.924	
25.98	5.292	
26	6.624	
26.02	7.92	
26.04	9.216	
26.06	10.44	
26.08	11.7	
26.1	12.888	
26.12	14.076	
26.14	15.192	
26.16	16.308	
26.18	17.28	
26.2	18.252	
26.22	19.152	
26.24	20.052	
26.26	20.808	
26.28	21.528	
26.3	22.176	
26.32	22.788	
26.34	23.256	
26.36	23.688	
26.38	24.048	
26.4	24.3	
26.42	24.48	
26.44	24.588	
26.46	24.624	
26.48	24.588	
26.5	24.444	
26.52	24.228	
26.54	23.94	
26.56	23.58	
26.58	23.148	
26.6	22.644	
26.62	22.068	
26.64	21.456	
26.66	20.736	
26.68	19.98	
26.7	19.08	
26.72	18.216	
26.74	17.244	
26.76	16.2	
26.78	15.156	
26.8	14.076	
26.82	12.888	
26.84	11.664	
26.86	10.404	
26.88	9.18	
26.9	7.92	
26.92	6.588	
26.94	5.22	
26.96	3.924	
26.98	2.556	
27	1.224	
27.02	-0.18	
27.04	-1.476	
27.06	-2.808	
27.08	-4.068	
27.1	-5.364	
27.12	-6.624	
27.14	-7.776	
27.16	-8.892	
27.18	-10.044	
27.2	-11.016	
27.22	-12.096	
27.24	-12.996	
27.26	-13.86	
27.28	-14.616	
27.3	-15.336	
27.32	-15.948	
27.34	-16.524	
27.36	-16.992	
27.38	-17.352	
27.4	-17.64	
27.42	-17.82	
27.44	-17.928	
27.46	-17.928	
27.48	-17.856	
27.5	-17.676	
27.52	-17.46	
27.54	-17.1	
27.56	-16.704	
27.58	-16.2	
27.6	-15.624	
27.62	-14.976	
27.64	-14.256	
27.66	-13.5	
27.68	-12.672	
27.7	-11.736	
27.72	-10.8	
27.74	-9.72	
27.76	-8.712	
27.78	-7.524	
27.8	-6.336	
27.82	-5.22	
27.84	-3.888	
27.86	-2.628	
27.88	-1.368	
27.9	-0.036	
27.92	1.224	
27.94	2.556	
27.96	3.924	
27.98	5.292	
28	6.552	
28.02	8.28	
28.04	9.216	
28.06	10.476	
28.08	11.7	
28.1	12.852	
28.12	14.04	
28.14	15.12	
28.16	16.272	
28.18	17.244	
28.2	18.252	
28.22	19.116	
28.24	19.98	
28.26	20.772	
28.28	21.492	
28.3	22.176	
28.32	22.752	
28.34	23.256	
28.36	23.652	
28.38	24.048	
28.4	24.3	
28.42	24.48	
28.44	24.588	
28.46	24.624	
28.48	24.588	
28.5	24.444	
28.52	24.228	
28.54	23.94	
28.56	23.616	
28.58	23.148	
28.6	22.644	
28.62	22.068	
28.64	21.42	
